pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name
calcitriol,BRD-A84327315,A375,-0.2347,-0.9428,0.0696,0.250153,,
BRD-K55816391,BRD-K55816391,PC3,-0.2347,-0.9428,0.0696,0.441606,,
BRD-K02460212,BRD-K02460212,U2OS,-0.2347,-0.9428,0.0696,0.205447,,
BRD-K37846922,BRD-K37846922,HCC515,-0.2347,-0.9427,0.0696,0.287682,"CHK inhibitor|Cytochrome P450 activator|Indoleamine 2,3-dioxygenase inhibitor",
BRD-K59333713,BRD-K59333713,PC3,-0.2347,-0.9427,0.0696,0.642083,Adrenergic receptor antagonist,
BRD-K17025677,BRD-K17025677,HEPG2,-0.2347,-0.9428,0.0696,0.238862,,
BRD-K92232855,BRD-K92232855,A549,-0.2347,-0.9429,0.0696,0.225927,,
otenzepad,BRD-A00520476,VCAP,-0.2347,-0.9429,0.0696,0.226198,Acetylcholine receptor antagonist,CHRM2|CHRM1|CHRM3|CHRM4|CHRM5
BRD-K09902564,BRD-K09902564,HEPG2,-0.2347,-0.9429,0.0696,0.208633,,
safinamide,BRD-K92613113,MCF7,-0.2347,-0.943,0.0696,0.275902,Dopamine receptor antagonist|Glutamate inhibitor|Monoamine oxidase inhibitor,MAOB|SLC6A3
dexloxiglumide,BRD-K07609981,HT29,-0.2347,-0.943,0.0696,0.547723,CCK receptor antagonist,CCKAR
BRD-K95428783,BRD-K95428783,U2OS,-0.2346,-0.9425,0.0696,0.30214,,
felamidin,BRD-K36638198,PC3,-0.2346,-0.9425,0.0696,0.206638,,
artesunate,BRD-K79759031,A549,-0.2346,-0.9424,0.0696,0.364195,,
AZD-7762,BRD-K86525559,MCF10A,-0.2346,-0.9425,0.0696,0.202197,CHK inhibitor,CHEK1|CHEK2
GSK-1059615,BRD-K02708799,PC3,-0.2346,-0.9425,0.0696,0.674596,,
MLN-0128,BRD-K59317601,THP1,-0.2346,-0.9425,0.0696,0.504034,MTOR inhibitor,MTOR|PIK3CA|PIK3CD|PIK3CG
PIK-93,BRD-K29395450,HT29,-0.2346,-0.9426,0.0696,0.385817,PI3K inhibitor,PI4KB|PIK3C3|PIK3CG
zofenopril-calcium,BRD-K46654563,HELA,-0.2346,-0.9424,0.0695,0.239328,ACE inhibitor,
PIK-93,BRD-K29395450,A375,-0.2346,-0.9426,0.0696,0.468306,PI3K inhibitor,PI4KB|PIK3C3|PIK3CG
BRD-K73602693,BRD-K73602693,MCF7,-0.2346,-0.9424,0.0695,0.231449,,
BRD-K14738608,BRD-K14738608,VCAP,-0.2345,-0.9421,0.0693,0.280592,,
BRD-A49680073,BRD-A49680073,HEPG2,-0.2345,-0.9421,0.0693,0.395992,JAK inhibitor|Lipocortin synthesis stimulant|STAT inhibitor,JAK2|STAT3
BRD-K71172276,BRD-K71172276,A549,-0.2345,-0.9422,0.0694,0.240207,,
BRD-K93577185,BRD-K93577185,MCF7,-0.2345,-0.9422,0.0694,0.333507,,
BRD-K94306568,BRD-K94306568,U2OS,-0.2345,-0.9422,0.0694,0.22791,,
BRD-K92985620,BRD-K92985620,U2OS,-0.2345,-0.9421,0.0693,0.298325,,
BRD-K60069399,BRD-K60069399,HA1E,-0.2345,-0.942,0.0692,0.345862,,
BRD-K91134378,BRD-K91134378,PC3,-0.2345,-0.942,0.0693,0.230297,,
BRD-K03265347,BRD-K03265347,U2OS,-0.2345,-0.9419,0.0692,0.240845,,
CHIR-99021,BRD-K16189898,PC3,-0.2345,-0.942,0.0692,0.367173,GSK inhibitor,CDK1|GSK3A|GSK3B|MAPK1
AM-92016,BRD-A11813248,HA1E,-0.2345,-0.9422,0.0694,0.220985,Potassium channel antagonist,GRIN2B|GRIN1
balsalazide,BRD-K41410256,HEPG2,-0.2345,-0.9422,0.0694,0.364153,Cyclooxygenase inhibitor,PTGS1|PTGS2|ALOX5|PPARG
prednisolone-acetate,BRD-A01643550,HCC515,-0.2344,-0.9417,0.069,0.380023,Glucocorticoid receptor agonist,NR3C1
LY-2603618,BRD-K14109347,YAPC,-0.2344,-0.9415,0.0689,0.377072,CHK inhibitor,CHEK1
BRD-K63750851,BRD-K63750851,YAPC,-0.2344,-0.9418,0.0691,0.426564,Dehydrogenase inhibitor|Inositol monophosphatase inhibitor,IMPDH1|IMPDH2
BRD-K90135241,BRD-K90135241,PC3,-0.2344,-0.9417,0.0691,0.507349,,
GR-159897,BRD-K52394958,HA1E,-0.2344,-0.9417,0.069,0.390454,Tachykinin antagonist,TACR2|TAC1
KUC105208,BRD-K64302725,HL60,-0.2344,-0.9417,0.0691,0.219313,,
ripasudil,BRD-K53814070,HA1E,-0.2344,-0.9417,0.069,0.427342,Rho associated kinase inhibitor,ROCK1|ROCK2
securinine,BRD-K49071277,U937,-0.2344,-0.9417,0.069,0.593796,GABA receptor antagonist|p53 activator,GABRA1
BRD-K64753899,BRD-K64753899,U2OS,-0.2344,-0.9418,0.0691,0.324605,,
BRD-K51681402,BRD-K51681402,U2OS,-0.2344,-0.9419,0.0692,0.205746,,
hinokitiol,BRD-K37691127,HA1E,-0.2343,-0.9412,0.0687,0.713599,Tyrosinase inhibitor,
BRD-K88329126,BRD-K88329126,HT29,-0.2343,-0.9413,0.0687,0.373879,,
BRD-K74623475,BRD-K74623475,A375,-0.2343,-0.9412,0.0687,0.389693,,
BRD-K28296557,BRD-K28296557,A549,-0.2343,-0.9412,0.0687,0.509842,AKT inhibitor,
medetomidine,BRD-A66563878,PC3,-0.2343,-0.9413,0.0687,0.213645,Adrenergic receptor agonist,ADRA2A|ADRA2B|ADRA2C|ADRA1A|ADRA1B|ADRA1D
nemonapride,BRD-A66927094,HCC515,-0.2343,-0.9413,0.0687,0.219453,,
BRD-K15358569,BRD-K15358569,VCAP,-0.2343,-0.9414,0.0688,0.425419,,
BRD-K36618304,BRD-K36618304,U2OS,-0.2343,-0.9414,0.0688,0.354723,,
BRD-K42687792,BRD-K42687792,SKB,-0.2343,-0.9411,0.0687,0.202338,,
BRD-K26214610,BRD-K26214610,PC3,-0.2343,-0.9412,0.0687,0.25577,,
flubendazole,BRD-K86003836,A549,-0.2343,-0.9414,0.0689,0.477981,Tubulin inhibitor,TUBB
YM-201636,BRD-K48488978,HT29,-0.2343,-0.9415,0.0689,0.294114,PI3K inhibitor,
BRD-K37369665,BRD-K37369665,U2OS,-0.2342,-0.941,0.0687,0.251864,,
