Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,protein_logFC,protein_adjPval,discordance_score,quadrant
APPL1,0.229437453,0.017737058,-1.02,1,-1.249437453,ambiguous
SNX27,0.163132518,0.017887746,-0.112,1,-0.275132518,ambiguous
OSBPL8,0.305768878,0.018007917,-0.174,1,-0.479768878,ambiguous
GSTK1,-0.162223545,0.018458705,-0.493,1,-0.33077645499999997,ambiguous
PTEN,0.277178361,0.018505408,0.611,1,0.333821639,ambiguous
ATG5,0.284911514,0.018818746,0.232,1,-0.052911513999999965,ambiguous
PAFAH1B2,0.251727817,0.019419144,-0.452,1,-0.7037278170000001,ambiguous
PRNP,0.304193221,0.019455787,-0.633,1,-0.937193221,ambiguous
MATR3,0.255282929,0.019789308,0.11,1,-0.145282929,ambiguous
TNR,-0.239115364,0.019789308,-0.000308,1,0.238807364,ambiguous
THNSL1,0.302339088,0.01987386,0.161,1,-0.14133908799999997,ambiguous
DPYSL2,0.19338337,0.019909744,-0.155,1,-0.34838336999999997,ambiguous
SUGP2,-0.253248583,0.020051327,0.769,1,1.022248583,ambiguous
MAPRE2,0.20926853,0.020585438,-0.0205,1,-0.22976853,ambiguous
NCOA7,0.282472678,0.020607039,0.151,1,-0.13147267799999998,ambiguous
RHOT1,0.235326387,0.021475262,-0.399,1,-0.634326387,ambiguous
LIN7C,0.317458739,0.021566389,-2.31,1,-2.627458739,ambiguous
SNX30,0.264572197,0.021566389,0.00385,1,-0.260722197,ambiguous
RAB14,0.243991076,0.022742754,0.594,1,0.35000892399999994,ambiguous
NCL,0.232209166,0.022742754,-0.429,1,-0.661209166,ambiguous
FSD1L,0.288059705,0.022792506,-0.914,1,-1.202059705,ambiguous
STRADA,-0.192927032,0.022987319,-0.213,1,-0.020072967999999997,ambiguous
KPNB1,0.179227161,0.023002276,-0.24,1,-0.419227161,ambiguous
UBE4A,0.161057401,0.023057223,-0.205,1,-0.36605740099999995,ambiguous
DNM3,0.270061009,0.023586389,-0.0675,1,-0.337561009,ambiguous
HSPH1,0.498728246,0.023765206,-0.201,1,-0.699728246,ambiguous
PLXNB2,-0.339623069,0.024215601,-0.121,1,0.218623069,ambiguous
MYO1C,-0.342330835,0.024648917,-0.0445,1,0.297830835,ambiguous
RAP1GDS1,0.325009257,0.024697837,-0.475,1,-0.8000092569999999,ambiguous
GRSF1,0.220206626,0.024771155,-0.031,1,-0.251206626,ambiguous
DDX19A,-0.132712118,0.025180963,-0.585,1,-0.452287882,ambiguous
SPTBN1,0.169644508,0.025180963,-0.0865,1,-0.256144508,ambiguous
EIF3E,0.356976493,0.025181291,0.371,1,0.01402350699999999,ambiguous
TRIM2,0.282670956,0.025706532,-0.352,1,-0.6346709559999999,ambiguous
SFXN5,-0.284091687,0.025957535,0.811,1,1.095091687,ambiguous
CRYAB,0.951464189,0.026005457,0.0283,1,-0.923164189,ambiguous
SNX12,0.160698241,0.026233292,0.338,1,0.17730175900000003,ambiguous
DHX9,0.194814534,0.026327158,0.343,1,0.14818546600000002,ambiguous
RAB23,0.275542578,0.026327158,-0.113,1,-0.38854257799999997,ambiguous
PHYHD1,-0.48590632,0.026429774,0.797,1,1.28290632,ambiguous
MTMR9,0.260565558,0.026449991,-0.851,1,-1.111565558,ambiguous
GYS1,-0.292341768,0.026464089,-0.203,1,0.08934176799999999,ambiguous
CCT4,0.286517866,0.026505919,-0.387,1,-0.6735178660000001,ambiguous
SYNCRIP,0.211857008,0.026505919,0.111,1,-0.10085700800000001,ambiguous
TPD52,0.285707908,0.026731824,0.716,1,0.43029209199999996,ambiguous
