Gene_Symbol,protein_logFC,protein_adjPval,protein_significant
THTPA,0.411823581659526,0.0135555757769711,False
MT-ND5,-0.644738288305416,0.0135667802721281,True
RTL8C,-0.525905032192145,0.014139203090888,False
MT-ND4,-0.603140808512496,0.0145327867677546,True
MECR,-0.575384944131729,0.0147443182774925,False
CCS,0.796923964737605,0.0148590938621671,True
UAP1L1,0.835576849043743,0.0150345069769298,True
EHD4,1.30355820917713,0.0151088278689231,True
BDH1,-0.873584392973781,0.0153840813425621,True
HMBS,1.25749744528637,0.0154716322098816,True
CYB5R2,1.60095662294235,0.0156501394597101,True
MRPL14,-0.427076632492359,0.015651678885748,False
PMP2,2.40803828732813,0.0158912693960334,True
PSMB10,0.55222291999241,0.0161379117921236,False
MRPL20,-0.471731416362624,0.0161940405043605,False
PPBP,2.40683708828451,0.0161940405043605,True
MRPL22,-0.467812128897031,0.016254848131583,False
CTNNA2,-0.823604191516916,0.016254848131583,True
NADSYN1,-0.53605353891292,0.016254848131583,False
NUDT16L1,-0.384672064677645,0.016254848131583,False
PTGR3,-0.668922633479159,0.016254848131583,True
COQ9,-0.435155846431812,0.016254848131583,False
MARCHF5,-0.377386646261336,0.0163920021166835,False
PARVG,0.823270908688845,0.0165159722170213,True
NDUFB9,-0.757121301128882,0.0165612443614227,True
ACADSB,-0.654425390092998,0.0167150966674515,True
SLIRP,-0.618227299849574,0.0167641919381871,True
UBE2K,0.426872107999756,0.0171507974505567,False
RHBDD2,-0.656518518280724,0.0172986370738477,True
TKT,0.473847686892812,0.0172986370738477,False
AFG1L,-0.425420288671186,0.0173615989702687,False
SLC3A2,-0.469003013490367,0.0174015310085651,False
OXCT1,-0.636827240775466,0.0174015310085651,True
SLC22A5,-0.316251186070831,0.0174015310085651,False
ABAT,-0.859656242401574,0.0175403574853325,True
CPN2,1.39579955177029,0.0176318058975753,True
FOCAD,0.41223579175422,0.0176318058975753,False
SELENOP,0.801073789473367,0.0176318058975753,True
ITGB2,0.811135492785354,0.0176318058975753,True
A1BG,2.03656221204476,0.0177825489051728,True
NDUFS7,-0.633940385136427,0.017947266156143,True
POLDIP2,-0.387334427219178,0.017947266156143,False
SCPEP1,0.465444431071502,0.017947266156143,False
IGHV5-51,1.24698495648277,0.017947266156143,True
BIN2,0.472412307266605,0.0179809331061669,False
SOD1,0.344891286916818,0.0180413145239085,False
A2M,1.74875364957887,0.0182274671535435,True
GAN,-0.740398026267863,0.0182274671535435,True
NDUFA11,-0.869527391030371,0.0182274671535435,True
EFR3B,-0.733113801529623,0.0182274671535435,True
MRPL41,-0.466841389665078,0.0182274671535435,False
FERMT3,1.42343468380816,0.0182274671535435,True
LARS2,-1.24251848581383,0.0182744830366813,True
BCO2,-0.597321851855954,0.0184367917796886,True
CACYBP,0.507258890491872,0.018634738802142,False
F2,2.46314140023785,0.018634738802142,True
TTYH1,-0.727806571112541,0.01880989962554,True
HLA-DRA,1.16796387172725,0.0191366059493191,True
RWDD1,0.358255610617526,0.0196061689538429,False
AK4,-0.362497868859961,0.0196061689538429,False
API5,0.445815177789378,0.019642856867851,False
CHDH,-0.645932365660547,0.019642856867851,True
TAP1,0.63929552345779,0.0197396945806905,True
GRM3,-0.828829399829166,0.0198231295779057,True
MRPL3,-0.479751369451516,0.0199215749805239,False
