Gene_Symbol,logFC,adjPval,tissue,omic,direction
MYH7,4.30998983831714,0.0429763878449077,spinal_cord,protein,UP
LRPPRC,-0.580992948997164,0.0429763878449077,spinal_cord,protein,DOWN
GADD45GIP1,-0.452577934548168,0.0429763878449077,spinal_cord,protein,DOWN
PCCA,-0.422869480601998,0.0430098877759039,spinal_cord,protein,DOWN
CASP1,0.586774855965806,0.0431026416450187,spinal_cord,protein,UP
DDX24,0.52563120843152,0.0431245370036151,spinal_cord,protein,UP
BIN2,0.415235774515742,0.0443593105557428,spinal_cord,protein,UP
F10,1.00107451221323,0.044803262243137,spinal_cord,protein,UP
PTPN1,0.427890053658265,0.0451276491588058,spinal_cord,protein,UP
SH3BP2,-0.354620668241593,0.0451276491588058,spinal_cord,protein,DOWN
CP,1.65709952782969,0.0451276491588058,spinal_cord,protein,UP
ACOX3,0.54959288242946,0.0451276491588058,spinal_cord,protein,UP
SNX18,0.516622006468765,0.0451656225854988,spinal_cord,protein,UP
GDAP1,-0.578823799425123,0.0455097711155063,spinal_cord,protein,DOWN
AFG1L,-0.368180234814919,0.0461871752014257,spinal_cord,protein,DOWN
NEXN,0.676043942505306,0.0462194197421628,spinal_cord,protein,UP
ALDH2,-0.493942456941927,0.0467291547538394,spinal_cord,protein,DOWN
ERP29,0.341188715095697,0.046964608485584,spinal_cord,protein,UP
APOBR,0.939006938764027,0.046964608485584,spinal_cord,protein,UP
PLEK,0.882164218372218,0.047100477231259,spinal_cord,protein,UP
MARCHF5,-0.32262165157521,0.047100477231259,spinal_cord,protein,DOWN
MRPL39,-0.426499972200337,0.0481414878149471,spinal_cord,protein,DOWN
TAPBP,0.756751812524941,0.0488635992533625,spinal_cord,protein,UP
C4A,1.16941433960007,0.0489731427675968,spinal_cord,protein,UP
ALDH5A1,-0.564526070397767,0.0491795938074024,spinal_cord,protein,DOWN
PRXL2A,-0.397355819122877,0.0491795938074024,spinal_cord,protein,DOWN
AGK,-0.39734682726896,0.0491795938074024,spinal_cord,protein,DOWN
RPA2,0.367986707046411,0.0491995818906803,spinal_cord,protein,UP
IGHV5-51,1.07526444713721,0.0492076309324332,spinal_cord,protein,UP
PAM16,-0.536542352263512,0.0494994939989299,spinal_cord,protein,DOWN
TOMM40,-0.309098901688227,0.0494994939989299,spinal_cord,protein,DOWN
MGST3,-0.519439866761939,0.0494994939989299,spinal_cord,protein,DOWN
RASSF2,0.315671595781692,0.0494994939989299,spinal_cord,protein,UP
