Gene_Symbol,direction,mRNA_source,mRNA_logFC_mean,LCM_SMD
CYP1B1,DOWN,GEO_merged,-0.6240888137696385,
YARS,DOWN,GEO_merged,-0.4398309493959462,
SNX19,UP,GEO_merged,1.248083844676462,
SUMO1,DOWN,GEO_merged,-0.4570026948105464,
EMG1,UP,GEO_merged,1.531129197508705,
PLD3,UP,GEO_merged,0.8348845545217564,
OCRL,UP,GEO_merged,0.8128019756280341,
CYFIP2,DOWN,GEO_merged,-0.392318939513306,
DPYSL3,UP,GEO_merged,0.4021769394912522,
IMMT,DOWN,GEO_merged,-0.2702630470335486,
GMFB,DOWN,GEO_merged,-0.3355706527893103,
SNAP23,UP,GEO_merged,0.055270413849535,
HADHA,UP,GEO_merged,1.6763718993562342,
NFATC4,DOWN,GEO_merged,-0.3865537744282551,
ARHGEF12,UP,GEO_merged,0.4083583639520438,
