"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PFKM",-0.00466326252773541,1.77468627791696,-0.0982308348924596,0.922526005823937,0.967873869288382,-6.04697095001411
"MAP3K7",0.00889316720734712,1.47355097799643,0.0980530066488475,0.922665790749792,0.967910896910002,-6.04698810260168
"ELMO1",-0.0054310961461661,1.62358699439421,-0.0978271374151891,0.922843342767258,0.967957026088192,-6.04700984425513
"LANCL1",0.00365476262900577,2.36688674666722,0.0975982709205544,0.92302325504016,0.967957026088192,-6.04703182331588
"FOXJ2",-0.0480208250356486,-0.0763796927630171,-0.0964445557801547,0.923930255528076,0.968276515287762,-6.04714183644229
"TSR1",-0.0161129689967009,0.783108529146037,-0.0962065478987609,0.924117380028692,0.968276515287762,-6.04716436916183
"PIK3C3",-0.00549319925202907,1.72165202146905,-0.0960194679317691,0.924264467550716,0.968276515287762,-6.04718204137589
"BC041917",0.00564309062784218,1.94168595604423,0.0959997006566588,0.924280009297839,0.968276515287762,-6.0471839066526
"TNFRSF21",0.00294118274386967,2.26650898899989,0.0958925385367868,0.924364264568313,0.968276515287762,-6.04719401198964
"MRPL46",0.0155718664665437,0.910809357579362,0.095759268206442,0.924469048444003,0.968276515287762,-6.04720656358433
"YARS",0.00577455717749853,1.65061529147943,0.0957481869962552,0.924477761114646,0.968276515287762,-6.04720760644346
"MOPT",0.0134859555753453,1.45135607202576,0.0947510051612199,0.925261840752586,0.968988177602172,-6.0473009580953
"SERAC1",0.0141859247434902,0.928725088882459,0.0945430568003634,0.925425359352419,0.969049864761639,-6.04732030222005
"N6AMT1",-0.0165939101847739,0.923891781635389,-0.094394251943435,0.925542372962537,0.96906284624754,-6.04733411852902
"C6orf106",-0.00598701874258811,1.61584711296929,-0.0940662637039017,0.92580029455073,0.969113812682045,-6.04736449495458
"UBE2L3",-0.00591934242665548,1.50669348168631,-0.0935159637876189,0.926233054937256,0.969347733350333,-6.04741522329511
"AIFM1",0.0129673616024204,1.19710416697875,0.0926806502843477,0.926889996545212,0.969810450515468,-6.04749165669018
"WDFY3",-0.00414046348037611,1.75115096861396,-0.0926713710789145,0.926897294577412,0.969810450515468,-6.04749250191339
"kenae1",0.0256806222250507,0.494692062124847,0.0925544115073746,0.926989283046956,0.969810450515468,-6.04750314826284
"CALCB",-0.0301365713395767,0.934396459915248,-0.0923701090125194,0.927134238691107,0.969852563861742,-6.04751989729557
"EMB",0.0169670507392712,1.03061978087006,0.0921036496337807,0.927343816029738,0.9699622592461,-6.04754405359361
"KIAA1826",0.00498432545438132,1.85177069894445,0.0917352679605686,0.927633566745537,0.970155778340737,-6.04757733497188
"ARNIP",0.00656920052225707,1.54862969694289,0.0914657503214523,0.927845562374509,0.970177812483865,-6.04760160006561
"HZF26",0.0148504120536663,0.735554395158918,0.0914421717804402,0.927864108905814,0.970177812483865,-6.04760371948463
"ZSWIM5",0.0182339690580535,0.945708839874229,0.0912841501000222,0.927988407492395,0.970190077703563,-6.04761790958519
"GLRX",-0.00506075484115653,2.05570566304243,-0.0903989530798856,0.928684730736796,0.97057123623501,-6.04769694539179
"BBS5",-0.0219468035782876,0.56387528335119,-0.0902126088635896,0.928831322235582,0.97057123623501,-6.04771348528265
"cega",0.0257592962733821,0.24039797674153,0.0901298285376465,0.928896443898348,0.97057123623501,-6.04772082191374
"GIN1",0.0326210264564119,0.727963839330755,0.0900314598680503,0.928973829262615,0.97057123623501,-6.04772953135286
"TMEM87A",-0.00839776183301777,1.58195510469995,-0.0894233464198653,0.92945224005622,0.970861391100744,-6.04778316196635
"CAMK2D",-0.00553207437874281,1.63991879012281,-0.0894119959893934,0.929461169845774,0.970861391100744,-6.04778415952803
"UBE2W",0.00596766481911559,1.54847902467463,0.0888974459245053,0.929865994656222,0.971174733171787,-6.04782924918191
