"Probe_ID","Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1665923","THEM5",-0.00539157466983475,6.52097334704394,-0.690691470613526,0.48997568839924,0.641839749909947,-6.78799526099585
"ILMN_1689718","IL17RE",0.0155845203772049,6.73341097721183,0.69058556718006,0.490042219085141,0.641898713182706,-6.78806788569307
"ILMN_1768812","FXYD6",0.0124610380822245,6.96547904457064,0.690550785908681,0.490064070447843,0.641899149093666,-6.7880917349894
"ILMN_1661954","C21ORF24",-0.00551007657425817,6.56706765314401,-0.690511995738241,0.490088441024215,0.641902884555537,-6.78811833174718
"ILMN_1676470","TCF7",-0.0134123890567208,7.12832308746659,-0.690445710287134,0.490130087484544,0.641929246121529,-6.78816377738746
"ILMN_1774869","SLC30A8",-0.00564354026015046,6.58338348556266,-0.690298791767343,0.490222401663175,0.642021962576832,-6.78826448993589
"ILMN_2101930","POLG",0.0295128364889417,7.65579846632702,0.689943292983246,0.490445813069547,0.64224676684089,-6.78850809555901
"ILMN_1779512","AP4M1",0.00626834144254929,6.64449034843573,0.689929766786884,0.490454314622121,0.64224676684089,-6.78851736191313
"ILMN_1745933","LOC400713",0.022012855146988,7.14433291497139,0.689922878780532,0.490458643936824,0.64224676684089,-6.78852208059107
"ILMN_1917341","HS.193557",-0.00520799614503886,6.48592911213507,-0.68982227563598,0.490521878320164,0.642265627015778,-6.78859099413096
"ILMN_2148913","TMEM45A",0.00588421500423397,6.53806310473899,0.689807942545801,0.490530887780854,0.642265627015778,-6.78860081153588
"ILMN_2413537","HEMGN",-0.0330536163806849,7.56784936024685,-0.689797201693523,0.490537639299379,0.642265627015778,-6.78860816831534
"ILMN_1687481","HIF3A",0.00553909679999798,6.52368949003255,0.689704687509112,0.490595794227215,0.642284324707748,-6.78867152972759
"ILMN_1674662","C15ORF42",0.00515205743580083,6.53431636958058,0.68966534734265,0.490620524798669,0.642284324707748,-6.78869847057552
"ILMN_2170209","RASD2",0.0055888900496015,6.55440245700609,0.689644719898445,0.49063349218252,0.642284324707748,-6.78871259600397
"ILMN_1695631","CHP2",-0.00731767086908253,6.63681400211453,-0.689608936554703,0.490655987717183,0.642284324707748,-6.7887370990113
"ILMN_1709799","C6ORF25",0.0113674103677051,6.65319317451543,0.689593575861789,0.490665644531269,0.642284324707748,-6.78874761701194
"ILMN_2415447","KCNQ4",-0.00490617098439294,6.51903296841947,-0.689539509559527,0.490699635233338,0.642284324707748,-6.78878463622829
"ILMN_1766951","MSX2",-0.00928809862534585,6.71527757250466,-0.689534729739571,0.490702640298008,0.642284324707748,-6.78878790883319
"ILMN_2241825","LDB3",0.00529871733935217,6.52395775773246,0.689492503806662,0.490729188100675,0.64229089030947,-6.78881681872818
"ILMN_1659495","HBS1L",0.0097469770809866,6.78554735369223,0.689428895724733,0.49076918050219,0.642315051525988,-6.78886036452811
"ILMN_1678627","RUFY4",-0.0060485688641041,6.62976769355635,-0.689386675809805,0.490795726459561,0.642321612788519,-6.788889265872
"ILMN_1801743","FCAMR",0.00780044773442068,6.59810161499919,0.688918684605592,0.491090029770136,0.642678581558444,-6.78920950754638
"ILMN_1656218","LOC388022",-0.00499466757698386,6.51688359853936,-0.688836122466497,0.491141960069498,0.642718344763023,-6.78926598144987
"ILMN_1779448","EFHD1",0.00750222327350247,6.65901695921591,0.688651923812237,0.491257828805923,0.642835872758215,-6.78939195208982
"ILMN_1749989","KRTAP5-11",0.00857431547449927,6.62768839041225,0.688624834064504,0.491274870642609,0.642835872758215,-6.78941047551556
