"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol"
"X95654_at",-0.671824546150038,5.23646560279252,-0.671509426755505,0.517106881204498,0.805274372272202,-6.06688198025194,"SYCP1"
"Z48605_at",-0.762652617272578,5.62359571552343,-0.713468283401043,0.490416085702781,0.789085508857229,-6.06698585815875,""
"X79234_at",-0.22698971570029,14.7810871099374,-0.713088670204102,0.490641825727167,0.78911782281189,-6.06725900040169,"RPL11"
"U50079_s_at",-0.371833133913096,10.8172245551137,-0.712398667611117,0.491052304465865,0.78911782281189,-6.06775513812982,"HDAC1"
"U79260_at",0.169065115149399,12.4352721324515,0.712254747549455,0.491137948246891,0.78911782281189,-6.06785856702473,"FTO"
"M35851_s_at",-0.991393328541699,4.94073134399751,-0.712188498907366,0.491177374488147,0.78911782281189,-6.06790617056906,"AR"
"D83777_at",-0.24146376304175,13.608931432604,-0.711926713117172,0.491333188805944,0.78911782281189,-6.06809423967293,"SCRN1"
"HG1153-HT1153_at",0.13955533846919,13.1763463954845,0.711814261194726,0.491400129238595,0.78911782281189,-6.06817500677717,""
"X99920_at",-0.30703479660027,12.3387794340893,-0.711791837454938,0.491413478321112,0.78911782281189,-6.06819111094434,"S100A13"
"X03072_at",-0.85258695020684,9.72661852822648,-0.711648381926343,0.491498884127896,0.78911782281189,-6.06829412619154,"WNT1"
"M21305_at",-1.09187836301106,10.7067127606295,-0.711487280255012,0.491594806351531,0.78911782281189,-6.0684097906104,""
"M57471_at",-0.802961626870356,5.89323509546767,-0.711371199478254,0.491663929603201,0.78911782281189,-6.06849311710844,"UOX"
"X15573_at",0.176094393827183,4.43398816368648,0.710903374970091,0.491942567947685,0.78911782281189,-6.06882881121597,"PFKL"
"D90359_at",1.00401692317389,5.79491880205504,0.710825007241239,0.491989253567122,0.78911782281189,-6.06888502545463,"TAF1"
"X87211_at",-0.243327864052944,4.56332371567032,-0.710755697184807,0.492030545564582,0.78911782281189,-6.06893473780566,"SLC4A3"
"Z30425_at",1.24794787712506,7.79151706749103,0.710605435533062,0.492120072381332,0.78911782281189,-6.06904249721598,"NR1I3"
"D50930_at",-0.938458710898601,10.5070631602547,-0.710379859215,0.492254490859969,0.78911782281189,-6.06920422927219,"FAM53B"
"M38180_rna1_at",0.803610255187513,5.53695404496305,0.710103536110735,0.49241917941713,0.78911782281189,-6.06940228174874,"HSD3B1"
"M34192_at",0.970710984372076,8.8845319942942,0.710101361685937,0.492420475507895,0.78911782281189,-6.06940383997323,"IVD"
"U16954_at",1.07723805721437,10.512728118941,0.709152122682438,0.492986479601303,0.78911782281189,-6.07008366396454,"MLLT11"
